,gene,score,logFC,pval,pval_adj,cluster
133,LRRC25,16.063774,,4.57826156800591e-58,1.5934340805168395e-56,0
134,CDA,16.0249,,8.562747879139822e-58,2.9587682060078103e-56,0
135,AOAH,15.943458,,3.1635715593441117e-57,1.0776336311723239e-55,0
136,ALOX5,15.915226,,4.968700136415822e-57,1.680610334873605e-55,0
137,EFHD2,15.897526,,6.591688116000963e-57,2.213977483996687e-55,0
138,SIRPA,15.887892,,7.686968115241843e-57,2.5639241567712896e-55,0
139,CYP1B1,15.881843,,8.465500508916827e-57,2.8041240651260358e-55,0
140,TBXAS1,15.806112,,2.8236340820432627e-56,9.288982531543692e-55,0
141,MARCH1,15.803311,,2.9519453911580607e-56,9.645029737232765e-55,0
142,THEMIS2,15.722876,,1.0542738447076648e-55,3.42140356495332e-54,0
143,CRTAP,15.71369,,1.21874728890465e-55,3.9286196165161303e-54,0
144,PYGL,15.687475,,1.8423831202265483e-55,5.899310750965408e-54,0
145,TLR2,15.686467,,1.87187377111292e-55,5.954046173943944e-54,0
146,LY86,15.670223,,2.417286041642715e-55,7.638305827638131e-54,0
147,LRP1,15.669663,,2.4386831079117364e-55,7.655552266209197e-54,0
148,CD163,15.479666,,4.759417936035538e-54,1.4843821004401745e-52,0
149,MS4A7,15.469023,,5.615295445795774e-54,1.7400170339456196e-52,0
150,ASGR1,15.39755,,1.6998989136430251e-53,5.2337272321970826e-52,0
151,CLEC4E,15.335375,,4.43705486796322e-53,1.357399651645054e-51,0
152,IFNGR2,15.233878,,2.1071280151993178e-52,6.405402441140711e-51,0
153,GASK1B,15.228277,,2.2956249870938655e-52,6.934520008183544e-51,0
154,LILRB3,15.215618,,2.7857722531031664e-52,8.362540082284067e-51,0
155,CREB5,15.181337,,4.700971839635075e-52,1.402407934519706e-50,0
156,SGK1,15.030549,,4.631499193087098e-51,1.3731537422467487e-49,0
157,MAFB,15.028645,,4.76658197108519e-51,1.404533325590317e-49,0
158,RGS18,15.028085,,4.807053609764899e-51,1.4078218590061471e-49,0
159,EVI2A,14.954819,,1.4487517801425535e-50,4.217184727287688e-49,0
160,RASSF4,14.942384,,1.7461488539534057e-50,5.052260810565186e-49,0
161,TNFSF10,14.940479,,1.7967768017737688e-50,5.167616155041564e-49,0
162,RNASE6,14.861277,,5.879421408366905e-50,1.6709385221530322e-48,0
163,TMEM176B,14.810864,,1.2462750607827936e-49,3.50050240756711e-48,0
164,FOSB,14.7106,,5.511645342916469e-49,1.539094917559756e-47,0
165,C19orf38,14.675648,,9.232969545113625e-49,2.548617972711537e-47,0
166,PILRA,14.6655655,,1.071213364653549e-48,2.9400215945319975e-47,0
167,GNAQ,14.584346,,3.532929107528119e-48,9.641283240600885e-47,0
168,ANPEP,14.561268,,4.953038155658912e-48,1.3440362859677828e-46,0
169,PYCARD,14.511304,,1.0274839186997882e-47,2.772474866019709e-46,0
170,BCL6,14.421795,,3.7740064352765545e-47,1.0126565870744856e-45,0
171,GSTO1,14.407455,,4.645135040101593e-47,1.2394768665337752e-45,0
172,NFKBIZ,14.386506,,6.289394830370993e-47,1.6689482525012088e-45,0
173,YBX3,14.304727,,2.0444045529081454e-46,5.3952060811086934e-45,0
174,KLF10,14.229669,,5.996557095447337e-46,1.5618316392838752e-44,0
175,LIPA,14.2294445,,6.015799568343055e-46,1.5618316392838752e-44,0
176,ODF3B,14.13747,,2.2316415102504693e-45,5.731857846916045e-44,0
177,PICALM,14.104422,,3.5669944549373604e-45,9.112911897374543e-44,0
178,MSRB1,14.095124,,4.069334260852807e-45,1.0341276431151339e-43,0
179,SNX10,14.072719,,5.5879386982060624e-45,1.4125720824991431e-43,0
180,TLR4,13.945344,,3.3582611883946783e-44,8.444884025057403e-43,0
181,RBM47,13.921594,,4.683411196396264e-44,1.171584582098503e-42,0
182,FES,13.899413,,6.386324434692591e-44,1.5893013606128762e-42,0
183,CKAP4,13.888322,,7.456166446063324e-44,1.8459777031155746e-42,0
184,LILRA5,13.866701,,1.0080795763330314e-43,2.482977541091051e-42,0
185,P2RY13,13.729132,,6.79429235343851e-43,1.6564967600794497e-41,0
186,RAB11FIP1,13.693059,,1.1170570002877321e-42,2.6960928504432046e-41,0
187,GLIPR2,13.643431,,2.2091716917953843e-42,5.305325817846615e-41,0
188,MPP1,13.500484,,1.553509849426345e-41,3.6756196092584905e-40,0
189,NFAM1,13.479088,,2.076593965443578e-41,4.8891572627576e-40,0
190,PLEK,13.454778,,2.886065072650826e-41,6.761839289727765e-40,0
191,ZFP36L1,13.389914,,6.926096231269815e-41,1.6148563203295593e-39,0
192,TFEC,13.343759,,1.2879792661777094e-40,2.988485224855816e-39,0
193,ITGAX,13.339614,,1.3616307808067887e-40,3.144188769334137e-39,0
194,PTAFR,13.294579,,2.4887016585022058e-40,5.7192507491799497e-39,0
195,HSPA1A,13.233636,,5.610586221303971e-40,1.2771396028873446e-38,0
196,STAB1,13.232628,,5.686373882423043e-40,1.2882855545885788e-38,0
197,UBE2D1,13.21392,,7.292595791788152e-40,1.6444289947398354e-38,0
198,ZYX,13.209103,,7.774600570740478e-40,1.7449255393115196e-38,0
199,ALDH1A1,13.208654,,7.821017281814454e-40,1.7471788839327823e-38,0
